Date,LETTUCES-Green Ice-,BROCCOLI-wonderball-Untrimmed,CELERY-Lollo Rossa-,temperature,raifall
06/01/2019,-0.6207091728,-0.7168807142,0,-0.4822660097,-0.459146877
07/01/2019,-0.741385932,-1.236419015,-0.2765332571,-0.9555420938,-0.459146877
14/01/2019,-0.2586788954,-0.8207883743,-0.02887656927,-0.7977833991,-0.459146877
17/01/2019,-0.2586788954,-1.236419015,0.4664368063,-1.744335567,-0.459146877
19/01/2019,-0.2586788954,-0.9766498644,0.4664368063,-0.7189040518,-0.459146877
21/01/2019,-0.2586788954,-0.8207883743,0.2187801185,-1.349938831,-0.459146877
22/01/2019,-0.01732537704,-0.9766498644,0.7140934941,-1.192180136,-0.459146877
23/01/2019,-0.01732537704,-0.9766498644,1.20940687,-1.113300789,-0.459146877
24/01/2019,-0.01732537704,-0.7168807142,2.200033621,-1.034421441,-0.459146877
25/01/2019,-0.1380021362,-0.7168807142,,-1.744335567,-0.459146877
27/01/2019,,-0.7168807142,,-3.400801862,-0.459146877
28/01/2019,-0.2586788954,-0.457111564,1.704720245,-3.874077946,-0.459146877
31/01/2019,-0.01732537704,,0.4664368063,-1.823214915,-0.459146877
03/02/2019,,-0.1973424137,,-1.349938831,-0.459146877
06/02/2019,0.2240281413,0.0624267365,1.20940687,-0.9555420938,-0.459146877
07/02/2019,0.7067351779,-0.1973424137,1.20940687,-0.4822660097,-0.459146877
08/02/2019,0.9480886962,-0.3532039039,-0.02887656927,-0.5611453571,-0.459146877
09/02/2019,0.2240281413,-0.1973424137,0.7140934941,-0.7189040518,-0.459146877
10/02/2019,,-0.457111564,,-0.1667486203,-0.459146877
11/02/2019,0.2240281413,-0.3012500738,0.4664368063,-0.6400247044,-0.459146877
12/02/2019,0.4653816596,0.0624267365,0.4664368063,-0.8766627465,-0.459146877
13/02/2019,0.4653816596,-0.1973424137,0.4664368063,-1.507697525,-0.459146877
14/02/2019,0.2240281413,-0.3012500738,0.7140934941,-1.192180136,-0.459146877
15/02/2019,-0.01732537704,-0.1973424137,1.457063557,-0.9555420938,-0.459146877
21/02/2019,-0.5000324137,-0.3012500738,0.2187801185,-1.428818178,-0.459146877
22/02/2019,-0.2586788954,0.0624267365,0.2187801185,-2.217611651,-0.459146877
23/02/2019,-0.2586788954,0.3221958867,-0.2765332571,-1.586576873,-0.459146877
25/02/2019,-0.5000324137,0.3221958867,-0.02887656927,-1.586576873,-0.459146877
28/02/2019,-0.741385932,-0.1973424137,-0.2765332571,-0.5611453571,-0.459146877
01/03/2019,-0.741385932,0.5819650369,-0.7718466326,-0.8766627465,-0.459146877
02/03/2019,-0.9827394503,0.7378265271,-0.5241899449,-0.9555420938,-0.459146877
05/03/2019,-0.8620626912,,-0.2765332571,0.4642861585,-0.459146877
07/03/2019,-0.9827394503,-0.4051577339,-0.02887656927,0.5431655058,-0.459146877
08/03/2019,-0.9827394503,-0.7168807142,0.4664368063,0.2276481164,-0.459146877
09/03/2019,-0.9827394503,-0.1973424137,-0.7718466326,-0.7977833991,-0.459146877
12/03/2019,-0.9827394503,-0.3012500738,,0.7009242005,-0.459146877
13/03/2019,-0.9827394503,-0.457111564,-0.5241899449,1.095320937,-0.459146877
14/03/2019,,-0.1973424137,-0.9204406453,-0.5611453571,-0.459146877
15/03/2019,-0.9827394503,-0.9766498644,-0.7718466326,-0.2456279677,-0.3760254596
16/03/2019,,-0.9766498644,-0.5241899449,-0.8766627465,-0.3760254596
18/03/2019,-1.103416209,-0.9246960344,-0.5241899449,-0.008989925617,-0.459146877
19/03/2019,-1.103416209,-0.7168807142,-0.5241899449,0.4642861585,-0.459146877
20/03/2019,-1.103416209,-0.7168807142,-0.8709093078,0.9375622426,-0.459146877
21/03/2019,-1.103416209,-0.9766498644,-0.9204406453,0.06988942173,-0.459146877
22/03/2019,-1.103416209,-0.1973424137,-0.5241899449,0.06988942173,-0.459146877
23/03/2019,-1.103416209,0.0624267365,,-0.6400247044,-0.459146877
24/03/2019,-1.103416209,-0.1973424137,,-0.4033866624,-0.459146877
26/03/2019,-1.103416209,-0.457111564,-0.7718466326,-0.324507315,-0.459146877
27/03/2019,-1.079280858,-0.6129730541,-0.6727839575,1.01644159,-0.459146877
28/03/2019,-1.079280858,-0.457111564,-0.9204406453,1.095320937,-0.459146877
29/03/2019,-0.9827394503,-0.1973424137,-0.7718466326,0.8586828952,-0.459146877
30/03/2019,-0.8620626912,-0.1973424137,,0.8586828952,-0.459146877
31/03/2019,,-0.1973424137,,-0.008989925617,-0.08510049875
01/04/2019,-0.8620626912,-0.1973424137,,0.3065274638,-0.42589831
02/04/2019,-0.741385932,-1.236419015,-0.8709093078,-0.4822660097,1.577327849
03/04/2019,-0.741385932,-0.9766498644,-0.7718466326,-0.6400247044,-0.1682219161
04/04/2019,-0.741385932,-0.7168807142,-0.7718466326,-0.1667486203,-0.4342104517
05/04/2019,-0.8620626912,-0.7168807142,-0.7223152951,0.2276481164,-0.459146877
08/04/2019,-0.6207091728,-1.236419015,-0.7718466326,1.410838327,-0.459146877
09/04/2019,-0.9827394503,-0.7168807142,-0.9204406453,1.962993758,-0.459146877
10/04/2019,-0.9827394503,-0.7168807142,-0.7718466326,2.436269842,-0.459146877
11/04/2019,-0.8620626912,-0.7168807142,-0.7718466326,2.120752453,-0.2097826248
12/04/2019,-0.8620626912,-0.1973424137,-1.01950332,0.6220448532,-0.4425225935
14/04/2019,-0.6207091728,-0.1973424137,-0.7718466326,0.1487687691,-0.04353979006
15/04/2019,,-0.1973424137,,0.7009242005,-0.459146877
16/04/2019,-1.103416209,-1.236419015,-0.5241899449,0.7009242005,-0.459146877
17/04/2019,-0.6207091728,-0.7168807142,-0.9204406453,0.3854068111,-0.459146877
18/04/2019,,-1.236419015,-0.7718466326,1.489717674,-0.459146877
19/04/2019,-0.5000324137,-0.9766498644,-0.7718466326,1.884114411,-0.4508347352
20/04/2019,,-0.561019224,-0.7718466326,1.884114411,-0.459146877
22/04/2019,-0.9827394503,-0.7168807142,-0.5241899449,2.041873105,-0.4425225935
24/04/2019,-0.01732537704,0.3221958867,-0.9204406453,1.962993758,-0.459146877
25/04/2019,-0.01732537704,0.0624267365,-0.2765332571,1.647476369,-0.459146877
26/04/2019,-0.01732537704,0.3221958867,-0.5241899449,2.041873105,-0.459146877
27/04/2019,-0.01732537704,0.0624267365,-0.7718466326,1.174200285,-0.459146877
29/04/2019,-0.01732537704,-0.1973424137,-0.02887656927,1.805235063,-0.459146877
30/04/2019,-0.01732537704,-0.1973424137,,1.568597021,-0.459146877
01/05/2019,-0.2586788954,-0.1973424137,-0.5241899449,1.489717674,-0.459146877
02/05/2019,-0.2586788954,0.0624267365,0.2187801185,1.331958979,1.286402888
03/05/2019,-0.741385932,0.3221958867,-0.02887656927,0.1487687691,-0.459146877
06/05/2019,-0.741385932,0.3221958867,0.7140934941,-1.034421441,-0.08510049875
07/05/2019,-0.741385932,0.0624267365,0.9617501819,0.4642861585,-0.1266612074
08/05/2019,,-0.1973424137,-0.6727839575,0.1487687691,0.8292350924
09/05/2019,-0.9827394503,0.0624267365,-0.7718466326,0.2276481164,0.5383101316
10/05/2019,-0.9827394503,,-0.2765332571,,-0.3344647509
11/05/2019,-0.8620626912,0.5819650369,0.4664368063,0.3065274638,-0.2929040422
14/05/2019,,0.8417341872,-0.02887656927,1.01644159,-0.459146877
15/05/2019,-0.2586788954,1.361272488,-0.5241899449,0.3065274638,-0.04353979006
16/05/2019,-0.01732537704,0.5819650369,-0.2765332571,1.253079632,-0.459146877
17/05/2019,,0.8417341872,-0.2765332571,1.647476369,-0.459146877
18/05/2019,-0.01732537704,1.361272488,-0.5241899449,1.095320937,-0.459146877
20/05/2019,,0.8417341872,-0.5241899449,1.489717674,-0.1682219161
19/05/2019,,0.8417341872,-0.5241899449,1.568597021,-0.459146877
21/05/2019,0.2240281413,0.8417341872,-0.7718466326,1.253079632,0.1642637534
22/05/2019,0.9480886962,0.3221958867,0.2187801185,1.174200285,-0.459146877
23/05/2019,,0.3221958867,0.7140934941,1.331958979,-0.4508347352
24/05/2019,0.2240281413,0.3221958867,0.7140934941,1.01644159,-0.1266612074
25/05/2019,0.7067351779,0.8417341872,1.704720245,0.5431655058,1.037038636
27/05/2019,0.7067351779,0.0624267365,0.7140934941,-0.324507315,-0.2513433335
28/05/2019,0.7067351779,-0.1973424137,1.20940687,0.6220448532,0.2473851708
29/05/2019,0.7067351779,-0.9766498644,-0.5241899449,-0.08786927297,1.078599345
